Name,Rarity,IsAttack,Effect,Story
破碎流年,S,1,,
罪人錄,A,0,"進入戰鬥時,得知敵人所有狀態",光明會的聖裁官們所持有的教典，在世界分崩離析之際，人們需要一些信仰，分散一些壓力，而獵殺那些受虛空感染的人類無疑是個好選擇。
神許重錘,A,1,對敵人造成 400% 無視任何防禦的神聖傷害,光明會的聖裁官們所持有的武器，因為對現世留有強烈的思念，因此能給予虛妄的實體殘酷的打擊。信仰就是這麼的簡單。
太陽壁壘,B,0,"特防,物防上升 20%",過去由陽光的戰士索拉爾所持有的盾牌。索拉爾以一人之力扛住了無數次虛空洪流，可以說要是沒有他，也就不會有今天的泰格達了吧
大馬士革刀,B,0,"特攻,物攻上升 20%",世界三大名刃之一：大馬士革刀，從冶煉到鍛造對溫度的要求都很苛刻，冶煉時溫度不得高於一千度，鍛造時必須低溫；其製成的刀劍鋒利無比，刀身會有一種類似於木紋特殊的紋路，被稱為穆罕默德紋。
死告天使,C,1,10% 一擊必殺,"以毫無稀奇之處的大劍斬首。

此劍被山中老人在生涯之中不斷揮舞，染上了他永不背棄的信仰。

喪命於此劍者，
雖恐懼卻不痛，
雖畏懼卻不苦，
雖懺悔卻不後悔。"
真知晶球,C,1,可以得知下回合是否會被擊殺,"看上去平凡無奇的石頭，其實是伊歐最早再嘗試創造人類時，
所使用的材料之一。殘存在上面魔力感應到危險時會發熱，
這似乎也對應到了人類的身體機制。"
八尺勾玉,C,0,特防上升 10%,來自東方的奇特石頭，似乎能夠提供一些防護
鍵盤滑鼠,C,0,特攻上升 10%,創造這個遊戲所需要的東西，人類用來創造萬物的工具。想成為造物主，也是必須透過這兩個玩意兒的。
高速拖鞋,C,0,速度上升 10%,來自臺灣這個島國的特產，感覺十分耐用。
幸運金幣,C,0,幸運上升 10 %,某人生前遺留下來的硬幣，但要是他夠幸運的話，也許就不會遺留下來了？
磨刀石,C,0,物攻上升 15%,泰格達遠征軍的標準配備之一，隨時保持武器的鋒利
戰術護甲,C,0,獲得基於物防 10% 的護甲值,泰格達遠征軍的標準配備之一，隨時保持鎧甲的厚實
